code,description,concept_id,vocabulary_id,domain_id,standard_concept
JDDB005,"Bladder support by synthetic infraurethral tape, transvaginal and transobturator",,,,Non-standard
08.02.03.09,Bladder suture and plastic surgery,,,,Non-standard
JEAD001,Blind dilation of urethral stricture,,,,Non-standard
HGHD002,"Blind enteral biopsy by tube, nasal",,,,Non-standard
JEPD002,Blind internal meatal or retrromeatic urethrotomy,,,,Non-standard
JEPD001,Blind internal urethrotomy,,,,Non-standard
05.01.06.03,Blood sample,,,,Non-standard
JQHB001,Blood sample from the fetus on the presentation,,,,Non-standard
BGQP009,Blue light retinography with fiber optic analysis,,,,Non-standard
LDHA001,"Bone and / or articular biopsy of the atlas and / or axis, by intraoral approach or by premastoid approach",,,,Non-standard
LDHA002,"Bone and / or disc biopsy of the spine, by anterolateral cervicotomy",,,,Non-standard
LEHA002,"Bone and / or disc biopsy of the spine, by costotransversectomy",,,,Non-standard
LFHC001,"Bone and / or disc biopsy of the spine, by laparoscopy or by retroperitoneoscopy",,,,Non-standard
LFHA001,"Bone and / or disc biopsy of the spine, by laparotomy or lumbotomy",,,,Non-standard
LEHA001,"Bone and / or disc biopsy of the spine, by thoraco-phreno-laparotomy",,,,Non-standard
LEHC001,"Bone and / or disc biopsy of the spine, by thoracoscopy",,,,Non-standard
LEHA003,"Bone and / or disc biopsy of the spine, by thoracotomy",,,,Non-standard
LHHH002,"Bone and / or disc biopsy of the spine, transcutaneously with CT guidance",,,,Non-standard
LHHH003,"Bone and / or disc biopsy of the spine, transcutaneously with radiological guidance",,,,Non-standard
LHHH001,"Bone and / or disc puncture or fine needle aspiration of the spine, transcutaneously with CT guidance",,,,Non-standard
LAFA008,Bone autograft harvesting by doubling the vault of the skull,,,,Non-standard
LJHA001,"Bone biopsy of the sternum and / or ribs, by direct approach",,,,Non-standard
LJHB001,"Bone biopsy of the sternum and / or ribs, transcutaneously",,,,Non-standard
PAQK900,"Bone densitometry [Bone absorptiometry] of the whole body by two-photon method, for bone disease other than constitutional",,,,Non-standard
PAQK008,"Bone densitometry [Bone absorptiometry] of the whole body by two-photon method, for constitutional bone disease in children",,,,Non-standard
PAQK007,"Bone densitometry [Bone absorptiometry] on 2 sites, by two-photon method",,,,Non-standard
NDQM900,Bone densitometry of the calcaneus by ultrasound,,,,Non-standard
13.02.06.04,Bone excision of the hand,,,,Non-standard
13.02.07.02,Bone excision of the upper limb,,,,Non-standard
15.02.03,"Bone fixation, without topographic precision",,,,Non-standard
11.02.05.02,Bone implant placement on the skull and face,,,,Non-standard
11.02.05.04,Bone implant release and activation of the skull and face,,,,Non-standard
14.02.07.01,Bone lengthening in the lower limb,,,,Non-standard
13.02.07.01,Bone lengthening of the upper limb,,,,Non-standard
FDHB002,"Bone marrow biopsy, transcutaneous",,,,Non-standard
FDFB001,"Bone marrow haematopoietic stem cell harvest [Bone marrow harvest], for cell therapy",,,,Non-standard
05.01.06.02,Bone marrow puncture and biopsy,,,,Non-standard
FDHB006,"Bone marrow puncture for myelogram and biological analyzes in a territory, by the transcutaneous route",,,,Non-standard
FDHB003,"Bone marrow puncture for myelogram and biological analyzes in several areas under general anesthesia, by the transcutaneous route",,,,Non-standard
FDHB004,"Bone marrow puncture for myelogram and biological analyzes with bone marrow biopsy in the same territory, by the transcutaneous route",,,,Non-standard
FDHB001,"Bone marrow puncture for myelogram in a territory, transcutaneously",,,,Non-standard
FDHB005,"Bone marrow puncture for myelogram in several areas under general anesthesia, transcutaneously",,,,Non-standard
FDQL001,Bone marrow scan,,,,Non-standard
15.02.05,"Bone recess, without topographic precision",,,,Non-standard
14.02.06.04,Bone reconstruction of the forefoot,,,,Non-standard
13.02.06.05,Bone reconstruction of the hand,,,,Non-standard
NFMA013,"Bone reconstruction of the knee after loss of segmental substance, with arthrodesis and osteosynthesis",,,,Non-standard
NDMA001,"Bone reconstruction of the metatarsal or toes by graft or inert non-prosthetic material, after segmental resection",,,,Non-standard
MEMA003,"Bone reconstruction of the shoulder with arthrodesis, after segmental resection",,,,Non-standard
15.02.02,"Bone removal, without topographic precision",,,,Non-standard
11.02.02.02,Bone resection of the base of the skull,,,,Non-standard
14.02.07.02,Bone resection of the foot,,,,Non-standard
11.02.04.05,Bone resection of the mandible,,,,Non-standard
14.02.05.03,Bone resection of the tarsus,,,,Non-standard
12.03.05,Bone resection of the thorax,,,,Non-standard
15.02.06,"Bone resection, without topographic precision",,,,Non-standard
PAQL001,"Bone scintigraphy of the whole body segment by segment in one step [late phase], with complementary acquisition by a pinhole collimator",,,,Non-standard
PAQL009,"Bone scintigraphy of the whole body segment by segment in one step [late phase], without additional acquisition by a pinhole collimator",,,,Non-standard
PAQL010,"Bone scintigraphy of the whole body segment by segment in several stages, with complementary acquisition by a pinhole collimator",,,,Non-standard
PAQL005,"Bone scintigraphy of the whole body segment by segment in several stages, without additional acquisition by a pinhole collimator",,,,Non-standard
PCLB003,"Botulinum toxin injection session in the striated muscles by the transcutaneous route, with electromyographic examination for detection",,,,Non-standard
PCLB002,"Botulinum toxin injection session in the striated muscles by the transcutaneous route, without electromyographic examination of detection",,,,Non-standard
HELE900,"Botulinum toxin injection session into the lower esophageal sphincter, by endoscopy",,,,Non-standard
LCLB001,Botulinum toxin injection session on the face,,,,Non-standard
AHLB008,"Brachial plexus anesthetic infiltration, with diagnostic and prognostic evaluation",,,,Non-standard
AHLB001,Brachial plexus continuous anesthetic block,,,,Non-standard
AHFA008,"Brachial plexus or lumbosacral plexus tumor excision with immediate repair, by direct approach",,,,Non-standard
01.05.03.03,Brachial plexus release,,,,Non-standard
04.03.03.04,Brachiocephalic arterial bypass and replacement,,,,Non-standard
04.03.03.05,Brachiocephalic Arterial Occlusion,,,,Non-standard
04.03.03.03,Brachiocephalic artery disobstruction,,,,Non-standard
04.03.03.01,Brachiocephalic Artery Wound Suture,,,,Non-standard
DHCA002,Brachiocephalic vein or superior vena cava bypass by thoracotomy,,,,Non-standard
AAQN903,Brain magnetic resonance spectroscopy of phosphorus,,,,Non-standard
ACQL008,Brain perfusion tomoscintigraphy after pharmacodynamics,,,,Non-standard
ACQL005,Brain perfusion tomoscintigraphy with activation test and complex quantification,,,,Non-standard
ACQL007,Brain perfusion tomoscintigraphy without activation test,,,,Non-standard
AAQN902,Brain proton magnetic resonance spectroscopy [Chemical shift imaging] [CSI],,,,Non-standard
01.02.01.03,Brain tissue excision,,,,Non-standard
01.02.01.02,Brain tissue section,,,,Non-standard
ACQL003,Brain tomoscintigraphy for diagnosis and assessment of brain tumor,,,,Non-standard
ACQL001,Brain tomoscintigraphy using a marker of neurotransmission and / or metabolism,,,,Non-standard
AAFA003,"Brainstem lesion excision, by craniotomy",,,,Non-standard
QEPA001,Breast capsulotomy with replacement of the prosthetic implant,,,,Non-standard
16.02.05,Breast puncture and biopsy,,,,Non-standard
16.06.07,Breast reconstruction,,,,Non-standard
QEMA006,Breast reconstruction by placing a prosthetic implant,,,,Non-standard
QEMA001,Breast reconstruction by unipediculated rectus abdominis muscle flap,,,,Non-standard
16.02.04,Breast remnography [MRI],,,,Non-standard
QEQK003,Breast resection surgical specimen X-ray,,,,Non-standard
16.02.03,Breast scan,,,,Non-standard
QEFA004,Breast tumorectomy,,,,Non-standard
QEFA001,Breast tumorectomy with lymphonodal axillary dissection,,,,Non-standard
16.02.01,Breast ultrasound,,,,Non-standard
16.02.02,Breast x-ray,,,,Non-standard
06.04.05,Breathing apparatus,,,,Non-standard
JJCA002,"Broad ligament tear suture, by laparotomy",,,,Non-standard
GEQJ237,"Bronchial endoscopy, with mediastinal needle sampling via the transbronchial route",,,,Non-standard
GEQE007,Bronchial fibroscopy,,,,Non-standard
GEQE009,"Bronchial fibroscopy with bronchioloalveolar lavage for diagnostic purposes, in an intubated or tracheostomized patient",,,,Non-standard
GEQE012,"Bronchial fibroscopy, in an intubated or tracheostomized patient",,,,Non-standard
GEQE004,"Bronchial fibroscopy, with bronchioloalveolar lavage for diagnostic purposes",,,,Non-standard
GEQH002,"Bronchial fibroscopy, with lung biopsy by transbronchial route with radiological guidance",,,,Non-standard
GEQE006,"Bronchial fibroscopy, with lung biopsy by transbronchial route without guidance",,,,Non-standard
GEQE002,"Bronchial fibroscopy, with lymphonodal needle sampling via the transbronchial route",,,,Non-standard
GESA003,"Bronchial fistula closure, by thoracotomy",,,,Non-standard
GERD002,Bronchoconstrictor or physical factor challenge test during a functional respiratory test,,,,Non-standard
GFFC004,"Bronchogenic cyst excision, by thoracoscopy",,,,Non-standard
GFFA003,"Bronchogenic cyst excision, by thoracotomy",,,,Non-standard
GEQH001,Bronchography,,,,Non-standard
JEFA011,"Bulbar urethral resection-anastomosis, by perineal approach",,,,Non-standard
16.05.04,Burn excision,,,,Non-standard
QCFA004,"Burn excision of both hands, 2.5% to 3.75% of body surface area",,,,Non-standard
QCFA002,"Burn excision of one hand, less than 1.25% of the body surface",,,,Non-standard
16.05.04.01,"Burn excision, outside the head end and hands",,,,Non-standard
04.03.04.04,Bypass and reimplantation of the common carotid artery,,,,Non-standard
DGCA032,"Bypass between the aorta and the brachiocephalic arterial trunk, by thoracotomy",,,,Non-standard
DGCA008,"Bypass between the ascending thoracic aorta and the abdominal aorta with exclusion of the descending thoracic aorta, by thoracotomy and by laparotomy without CEC",,,,Non-standard
DGCA027,"Bypass between the ascending thoracic aorta and the abdominal aorta without excluding the descending thoracic aorta, by thoracotomy and by laparotomy with CEC",,,,Non-standard
DGCA015,"Bypass between the ascending thoracic aorta and the abdominal aorta without excluding the descending thoracic aorta, by thoracotomy and by laparotomy without CEC",,,,Non-standard
DGCA028,"Bypass between the ascending thoracic aorta and the descending thoracic aorta, by thoracotomy with CEC",,,,Non-standard
DGCA031,"Bypass between the ascending thoracic aorta and the descending thoracic aorta, by thoracotomy without CEC",,,,Non-standard
EBCA017,"Bypass between the common carotid artery and the ipsilateral internal carotid artery, by cervicotomy",,,,Non-standard
DGCA023,"Bypass between the descending thoracic aorta or the juxtadiaphragmatic aorta and the infrenal abdominal aorta, by thoraco-phreno-laparotomy without CEC",,,,Non-standard
HHCC011,"Bypass colocolostomy [Colocolic anastomosis without colonic excision], by laparoscopy",,,,Non-standard
HHCA003,"Bypass colocolostomy [Colocolic anastomosis without colonic excision], by laparotomy",,,,Non-standard
HGCC003,"Bypass enteroenterostomy, by laparoscopy",,,,Non-standard
HGCA001,"Bypass enteroenterostomy, by laparotomy",,,,Non-standard
HFCC022,"Bypass gastrojejunostomy [Gastroentero-anastomosis without gastric resection], by laparoscopy",,,,Non-standard
HFCA004,"Bypass gastrojejunostomy [Gastroenteroanastomosis without gastric resection], by laparotomy",,,,Non-standard
HGCC015,"Bypass ileocolostomy [ileocolic anastomosis without intestinal excision], by laparoscopy",,,,Non-standard
HGCA005,"Bypass ileocolostomy [ileocolic anastomosis without intestinal excision], by laparotomy",,,,Non-standard
ECCA002,"Bypass of an artery in the hand, by direct approach",,,,Non-standard
ECCA003,"Bypass of an artery in the upper limb, by direct approach",,,,Non-standard
EECA005,"Bypass of an artery of the foot, by direct approach",,,,Non-standard
07.03.02.06,Bypass of the stomach and duodenum,,,,Non-standard
EZCA004,"Bypass or angioplasty to widen arteriovenous vascular access, by direct approach",,,,Non-standard
EPCA002,"Bypass or enlargement angioplasty of the axillosubclavian or femoral venous trunk downstream of an arteriovenous vascular access, by direct approach",,,,Non-standard
NJAB001,"Calcaneal [Achilles] tendon lengthening, transcutaneously",,,,Non-standard
NDCB004,"Calcaneal fracture osteosynthesis, closed focus",,,,Non-standard
JANJ002,"Calcium intrarenal fragmentation by shock waves [Intrarenal lithotripsy], by nephroscopy through a nephrostomy already in place",,,,Non-standard
JANE005,"Calcium intrarenal fragmentation with shock waves or laser [Intrarenal lithotripsy], by ureteronephroscopy",,,,Non-standard
JVRP006,Calcium load test,,,,Non-standard
HCGA223,"Calculus ablation of the pelvis of the submandibular gland, by intraoral approach with endoscopic guidance",,,,Non-standard
HCGA003,"Calculus ablation of the pelvis of the submandibular gland, by intraoral approach without endoscopic guidance",,,,Non-standard
JCGA003,"Calculus removal of the iliac ureter, by direct approach",,,,Non-standard
CERP001,Calibrated bicalorical vestibular test with electronystagmography or videonystagmography,,,,Non-standard
CERP005,Calibrated bicalorical vestibular test without recording [clinical],,,,Non-standard
CERP003,"Calibrated, pendular or rotary bicalorical vestibular test with electronystagmography or videonystagmography, and oculographic tests",,,,Non-standard
02.02.07,"Canthotomy, canthopexy and canthoplasty",,,,Non-standard
NFMA005,"Capsulo-myo-tenoplasty of the knee to refocus the limpet, by arthrotomy",,,,Non-standard
MGMA004,"Capsuloplasty of a wrist joint, by direct approach",,,,Non-standard
BFPP001,"Capsulotomy of the lens for secondary cataract, with laser",,,,Non-standard
BFPA002,"Capsulotomy or partial or total excision of remnants of the lens capsule, by keratotomy",,,,Non-standard
04.02.02.03,Cardiac annuloplasty and valvoplasty [valvuloplasty],,,,Non-standard
04.02.03.03,Cardiac defibrillator implantation,,,,Non-standard
DEQF005,"Cardiac electrophysiological exploration by right and left intracavitary probes via the transcutaneous vascular route, with maneuvers provoking tachycardia",,,,Non-standard
DEQF002,"Cardiac electrophysiological exploration by right intracavitary probe via the transcutaneous venous route, with maneuvers provoking tachycardia in the atrial and ventricular stages",,,,Non-standard
DEQF004,"Cardiac electrophysiological exploration by right intracavitary probe via the transcutaneous venous route, with provocative maneuvers of tachycardia in the atrial stage",,,,Non-standard
DEQF001,"Cardiac electrophysiological exploration by right intracavitary probe via the transcutaneous venous route, with provocative maneuvers of tachycardia in the ventricular stage",,,,Non-standard
DEQF003,"Cardiac electrophysiological exploration by right intracavitary probe, by transcutaneous venous route",,,,Non-standard
04.02.06.03,Cardiac graft excision,,,,Non-standard
04.02.03.05,Cardiac pacing or defibrillation electrode and lead removal,,,,Non-standard
04.02.03.08,Cardiac pacing or defibrillation generator control and adjustment,,,,Non-standard
04.02.07,Cardiac rehabilitation,,,,Non-standard
04.02.03.11,Cardiac stimulation and defibrillation,,,,Non-standard
04.02.03.01,Cardiac stimulation electrode and lead placement,,,,Non-standard
04.02.01.04,Cardiac ventricular plasty,,,,Non-standard
19.01.02,Cardiology,,,,Non-standard
19.02.02,Cardiology,,,,Non-standard
YYYY001,Cardiology package level 1,,,,Non-standard
04.07.02.02,Cardiopulmonary bypass [CEC] for circulatory support,,,,Non-standard
EQCF001,Cardiopulmonary bypass for rewarming from accidental hypothermia,,,,Non-standard
DKMD002,"Cardiorespiratory resuscitation with tracheal intubation, in a medicotechnical unit",,,,Non-standard
DKMD001,"Cardiorespiratory resuscitation with tracheal intubation, outside of a medico-technical block",,,,Non-standard
EBAA002,"Carotid bifurcation widening angioplasty without thromboendarterectomy, by cervicotomy",,,,Non-standard
EBCA013,"Carotidohumeral or subclaviohumeral bypass, by direct approach",,,,Non-standard
EBCA001,Carotidosubclavier or carotidoaxillary cross-graft by cervicotomy,,,,Non-standard
13.02.05.04,Carp bone graft,,,,Non-standard
13.02.05.02,Carp osteosynthesis,,,,Non-standard
MHDA004,"Carpometacarpal arthrodesis, by arthrotomy",,,,Non-standard
CAMA011,Cartilaginous external acoustic pore plasty [Meatoplasty],,,,Non-standard
07.02.07.01,Catheterization and dilation of salivary duct,,,,Non-standard
AHFA012,"Cauda equina lipoma excision with closure of meningocele or myelomeningocele, by posterior approach",,,,Non-standard
JHQH001,"Cavernography, by transcutaneous puncture of the cavernous bodies of the penis",,,,Non-standard
AJLH011,"Celiac plexus and / or splanchnic chain continuous anesthetic block, with CT guidance",,,,Non-standard
AJLH007,"Celiac plexus anesthetic infiltration with diagnostic and prognostic evaluation, with radiological guidance",,,,Non-standard
AJLJ003,"Celiac plexus anesthetic infiltration with diagnostic and prognostic evaluation, with ultrasound guidance",,,,Non-standard
16.05.08,Cell culture support ablation [Take down],,,,Non-standard
HLFA010,"Central hepatectomy, by laparotomy",,,,Non-standard
01.04,CENTRAL NERVOUS SYSTEM STIMULATION,,,,Non-standard
01.04.01,Central nervous system stimulation electrode or generator implantation,,,,Non-standard
NBGA010,"Central or peripheral deepiphysiodesis of the femur or tibia, with osteotomy",,,,Non-standard
EHCA007,"Central splenorenal venous anastomosis with splenectomy, by laparotomy",,,,Non-standard
1,"CENTRAL, PERIPHERAL AND AUTONOMOUS NERVOUS SYSTEM",,,,Non-standard
HNFA007,"Cephalic duodenopancreatectomy, by laparotomy",,,,Non-standard
MBCA005,Cephalotuberosite fracture osteosynthesis of the humerus,,,,Non-standard
JNBD001,"Cerclage of the cervix during pregnancy, transvaginally",,,,Non-standard
DFBA001,"Cerclage of the pulmonary artery, by thoracotomy without CEC",,,,Non-standard
JKBA002,"Cerclage of the uterine isthmus by laparotomy, outside of pregnancy",,,,Non-standard
JKBA001,"Cerclage of the uterine isthmus by vaginal approach, outside of pregnancy",,,,Non-standard
JNGD002,Cerclage removal of the cervix,,,,Non-standard
AAGA900,"Cerebral cortical electrode ablation, by craniotomy",,,,Non-standard
AALA900,"Cerebral cortical stimulation electrode implantation for therapeutic purposes, by craniotomy",,,,Non-standard
ACQL002,"Cerebral positron emission tomoscintigraphy, with dedicated tepograph [PET camera]",,,,Non-standard
01.01.09.03,Cerebral somesthesia evoked potentials [PESc],,,,Non-standard
FCFA001,Cervical lymphangioma excision,,,,Non-standard
FCFA003,"Cervical lymphangioma excision with mediastinal extension, by cervicotomy",,,,Non-standard
JKHD003,"Cervical mucus collection and examination, with examination of sperm motility [Huhner's postcoital test]",,,,Non-standard
AEQH002,Cervical myelography,,,,Non-standard
JDPE002,"Cervical or cervicoprostatic incision, by endoscopy",,,,Non-standard
QAMA011,"Cervical smoothing, by direct approach",,,,Non-standard
EBQH003,"Cervicocephalic arteriography by transcutaneous vascular route, for diagnosis of brain death",,,,Non-standard
EBQH007,"Cervicocephalic supraselective arteriography, via the transcutaneous arterial route",,,,Non-standard
04.04.01.03,Cervicocephalic vein and upper limb vein disobstruction,,,,Non-standard
04.04.01.01,Cervicocephalic vein and upper limb vein wound suture,,,,Non-standard
JDDA003,"Cervicocystopexy by strip by vaginal approach and by transcutaneous route, with endoscopic guidance",,,,Non-standard
FCFA026,Cervicofacial lymphangioma excision without facial nerve dissection,,,,Non-standard
FCFA015,Cervicoparotid lymphangioma excision,,,,Non-standard
FCFA023,"Cervicoparotid lymphangioma excision with buccopharyngeal and mediastinal extension, by cervicotomy",,,,Non-standard
FCFA014,Cervicoparotid lymphangioma excision with buccopharyngeal extension,,,,Non-standard
AJFC002,"Cervicothoracic or thoracic sympathectomy, by thoracoscopy",,,,Non-standard
AJFA003,"Cervicothoracic or thoracic sympathectomy, by thoracotomy",,,,Non-standard
JKHD001,Cervicovaginal harvest,,,,Non-standard
09.03.03.02,Cesarean delivery,,,,Non-standard
JQGA003,"Cesarean delivery during labor, laparotomy",,,,Non-standard
JQGA005,"Cesarean delivery, vaginal approach",,,,Non-standard
BAFA013,Chalazion resection,,,,Non-standard
FGRD002,Challenge test by ingestion of a fixed concentration allergen,,,,Non-standard
FGRD003,Challenge test by ingestion of an allergen administered in increasing concentration,,,,Non-standard
BGMA003,Change in scleral indentation for persistent retinal detachment,,,,Non-standard
HBKD396,Change of 1 facet of a removable dental prosthesis,,,,Non-standard
HBKD431,Change of 2 facets of a removable dental prosthesis,,,,Non-standard
HBKD300,Change of 3 facets of a removable dental prosthesis,,,,Non-standard
HBKD212,Change of 4 facets of a removable dental prosthesis,,,,Non-standard
HBKD462,Change of 5 facets of a removable dental prosthesis,,,,Non-standard
HBKD213,Change of 6 facets of a removable dental prosthesis,,,,Non-standard
HBKD140,Change of 7 facets of a removable dental prosthesis,,,,Non-standard
HMKE001,"Change of a biliary endoprosthesis, by eso-gastro-duodenoscopy",,,,Non-standard
HGKE001,"Change of a duodenal stent graft, by eso-gastro-duodenoscopy",,,,Non-standard
HFKE001,"Change of a gastrostomy or gastrojejunostomy tube, by eso-gastro-duodenoscopy",,,,Non-standard
HFKH001,"Change of a gastrostomy or gastrojejunostomy tube, externally with radiological guidance",,,,Non-standard
HFKD001,"Change of a gastrostomy tube, externally without guidance",,,,Non-standard
MEKA002,"Change of a humeral prosthesis and / or the glenoid part of a total scapulohumeral prosthesis, with bone reconstruction",,,,Non-standard
EQKA003,"Change of a mechanical ventricular circulatory assistance system, by thoracotomy without CEC",,,,Non-standard
EQKA002,"Change of a mechanical ventricular circulatory support system, by thoracotomy with CEC",,,,Non-standard
JHKA002,"Change of a testicular prosthesis, by inguinal approach",,,,Non-standard
NFKA002,"Change of a three-compartment knee prosthesis, with bone reconstruction",,,,Non-standard
NFKA001,"Change of a three-compartment knee prosthesis, without bone reconstruction",,,,Non-standard
MEKA001,Change of a total scapulohumeral prosthesis,,,,Non-standard
JCKH001,"Change of a ureteral stent with a nephrostomy already in place, with radiological guidance",,,,Non-standard
JCKE002,"Change of a ureteral stent, by retrograde endoscopy",,,,Non-standard
JEKE001,"Change of a urethral stent, by endoscopy",,,,Non-standard
ADKA001,"Change of a vagus nerve stimulation generator, by direct approach",,,,Non-standard
NEKA006,"Change of acetabular and femoral parts of a total hip prosthesis, with reconstruction and osteosynthesis of the acetabulum and / or femur",,,,Non-standard
NEKA002,"Change of acetabular or femoral part of a total hip replacement, with bone reconstruction of the acetabulum or femur",,,,Non-standard
JEKB006,"Change of adjustable periurethral sphincter prosthesis in men, transcutaneously with radiological guidance",,,,Non-standard
HFKA002,"Change of an adjustable perigastric ring for morbid obesity, by laparotomy",,,,Non-standard
ENFA005,"Change of an arterial bypass of a limb with thrombectomy of the arterial axis, by direct approach",,,,Non-standard
HKKA001,Change of an electrostimulator of the external sphincter muscle of the anus or of a plastic flap of this muscle,,,,Non-standard
HNKE001,"Change of an endoprosthesis of the pancreatic duct, by eso-gastro-duodenoscopy",,,,Non-standard
HEKE001,"Change of an esophageal stent, by endoscopy",,,,Non-standard
GKKD002,"Change of an esotracheal voice implant, without endoscopy",,,,Non-standard
AFKB001,Change of an intrathecal spinal catheter connected to a subcutaneous implanted diffuser system or pump,,,,Non-standard
08.02.03.03,Change of bladder catheter,,,,Non-standard
QEKA001,"Change of breast prosthetic implant, with capsulectomy",,,,Non-standard
QEKA002,"Change of breast prosthetic implant, without capsulectomy",,,,Non-standard
JEKA010,"Change of component or repressurization of a urinary sphincter prosthesis, by direct approach",,,,Non-standard
ZZKP001,"Change of drainage device, under general or regional anesthesia",,,,Non-standard
GKKE002,"Change of esotracheal voice implant, by endoscopy",,,,Non-standard
BFKA001,Change of material implanted in the anterior segment of the eye,,,,Non-standard
AHKA001,"Change of phrenic nerve stimulation electrode, by thoracotomy",,,,Non-standard
PAKB001,Change of plug or wire of an external fixator or external bone extension system,,,,Non-standard
HMKE002,"Change of several biliary endoprostheses, by eso-gastro-duodenoscopy",,,,Non-standard
NEKA007,"Change of the acetabular or femoral part of a total hip prosthesis, with bone reconstruction by compacted grafts without osteosynthesis",,,,Non-standard
NEKA005,"Change of the acetabular or femoral part of a total hip prosthesis, with osteosynthesis of the acetabulum or the femur",,,,Non-standard
JEKA005,"Change of the inflatable sleeve of a penile periurethral sphincter prosthesis or bulbomembranaceous [bulbomembranous], by direct approach",,,,Non-standard
JEKA007,"Change of the inflatable sleeve of a pericervical or periurethroprostatic urinary sphincter prosthesis in men, by laparotomy",,,,Non-standard
HFKA001,"Change or repositioning of the access device of an adjustable perigastric ring for morbid obesity, by direct approach",,,,Non-standard
CBKA001,Change or repositioning of the ossicular prosthesis after platinotomy or platinectomy,,,,Non-standard
HBKD244,Changing 8 facets of a removable dental prosthesis,,,,Non-standard
JDKD001,Changing a cystostomy tube,,,,Non-standard
MEKA003,Changing a humeral prosthesis for a total scapulohumeral prosthesis,,,,Non-standard
MEKA004,"Changing a humeral prosthesis or the glenoid part of a total scapulohumeral prosthesis, without bone reconstruction",,,,Non-standard
JHKA004,Changing a hydraulic penile prosthesis with extracavernous component,,,,Non-standard
JHKA003,Changing a hydraulic penile prosthesis without extracavernous component,,,,Non-standard
JAKD001,Changing a nephrostomy or pyelostomy tube,,,,Non-standard
HPKC014,"Changing a peritoneal dialysis catheter, by laparoscopy",,,,Non-standard
HPKA002,"Changing a peritoneal dialysis catheter, by laparotomy",,,,Non-standard
HPKB001,"Changing a peritoneal dialysis catheter, transcutaneously",,,,Non-standard
JCKD001,Changing a skin ureterostomy tube,,,,Non-standard
AAKA001,Changing a subcutaneous brain stimulation generator,,,,Non-standard
QZKA001,Changing a subcutaneous implanted diffuser system or pump without changing the epidural [epidural] or intrathecal spinal catheter,,,,Non-standard
AEKA001,Changing a subcutaneous spinal cord stimulation generator,,,,Non-standard
NFKA003,Changing a unicompartmental knee prosthesis,,,,Non-standard
JCKE001,"Changing a ureteral catheter, by retrograde endoscopy",,,,Non-standard
JDKD002,Changing a urethrovesical catheter,,,,Non-standard
HFKC001,"Changing an adjustable perigastric ring for morbid obesity, by laparoscopy",,,,Non-standard
AFKB002,Changing an epidural [epidural] catheter connected to a diffuser system or to a pump implanted subcutaneously,,,,Non-standard
DEKA002,Changing an implantable cardiac defibrillation subcutaneous generator,,,,Non-standard
DEKA001,Changing an implantable subcutaneous cardiac stimulation generator,,,,Non-standard
QZKA007,Changing an implanted diffuser system or subcutaneous pump,,,,Non-standard
BKKP003,"Changing an intraorbital implant, after enucleation or evisceration of the eye bulb [globe]",,,,Non-standard
JKKD001,Changing an intrauterine device,,,,Non-standard
NEKA022,Changing from a cervicocephalic femoral prosthesis to a total hip prosthesis,,,,Non-standard
NFKA005,Changing from a unicompartmental knee prosthesis to a three-compartment prosthesis,,,,Non-standard
NEKA004,Changing the acetabular insert of a total hip prosthesis,,,,Non-standard
NEKA009,"Changing the acetabular or femoral part of a total hip replacement, without bone reconstruction",,,,Non-standard
HBKD005,Changing the attachment device of a removable supra-implant dental prosthesis,,,,Non-standard
AHKA003,Changing the generator of an electrical stimulator to restore upper limb motor skills,,,,Non-standard
JEKA006,"Changing the inflatable cuff of a pericervical urinary sphincter prosthesis in women, by laparotomy",,,,Non-standard
GLKP001,Changing the inner lining of a nasal ventilation face mask,,,,Non-standard
NFKA004,Changing the insert of a unicompartmental or tricompartmental knee prosthesis,,,,Non-standard
HPKA001,"Changing the intraperitoneal catheter of a diffuser system implanted for intraperitoneal insulin therapy, by laparotomy",,,,Non-standard
EZKA001,Changing the membrane of an implanted vascular access site for cardiopulmonary bypass,,,,Non-standard
AJNH008,"Chemical destruction of the celiac plexus and / or the splanchnic chain, transcutaneously with CT guidance",,,,Non-standard
AJNJ001,"Chemical destruction of the celiac plexus and / or the splanchnic chain, transcutaneously with ultrasound guidance",,,,Non-standard
AJNH001,"Chemical destruction of the cervical or thoracic sympathetic chain, transcutaneously with CT guidance",,,,Non-standard
AJNH002,"Chemical destruction of the cervical or thoracic sympathetic chain, transcutaneously with radiological guidance",,,,Non-standard
AJNH006,"Chemical destruction of the hypogastric or sacral plexus, by the transcutaneous route with radiological guidance",,,,Non-standard
AJNH007,"Chemical destruction of the hypogastric or sacral plexus, transcutaneously with CT guidance",,,,Non-standard
AJNH004,"Chemical destruction of the lumbar sympathetic ganglion chain, transcutaneously with CT guidance",,,,Non-standard
AJNH003,"Chemical destruction of the lumbar sympathetic ganglion chain, transcutaneously with radiological guidance",,,,Non-standard
AJNH005,"Chemical destruction of the pterygopalatine ganglion, transcutaneously with radiological guidance",,,,Non-standard
FEJF005,Chemical purification session of lipoproteins [LDLapheresis] from plasma or whole blood,,,,Non-standard
PBLB002,Chemical synoviorthesis of a limb,,,,Non-standard
12.03.02,Chest wall collection evacuation,,,,Non-standard
ZBQK002,Chest x-ray,,,,Non-standard
LJQK002,Chest x-ray with x-ray of the thorax skeleton,,,,Non-standard
GCMA001,"Choan reconstruction by transpalatal approach, for unilateral or bilateral imperforation",,,,Non-standard
