"Code CCAM de l’acte, Code de la consultation et éventuellement de la majoration","ccam","label","chapterCode","chapterLabel","parentCode","parentLabel","topographie","topographieLabel","action","actionLabel","modeAcces","modeAccesLabel","code","Famille d’acte","familleLabel"
"BDMA0080","BDMA008","kératoplastie transfixiante [Transplantation cornéenne transfixiante]","02","oeil et annexes","02.04.02.05","kératoplastie et kératoprothèse","BD","cornée","M","fabriquer/préparer/régler/réparer/réviser","A","abord ouvert","008","204","traitement de la cornée (oeil)"
"BDMP0020","BDMP002","adaptation unilatérale ou bilatérale de lentille cornéenne thérapeutique ou de lentille-pansement","02","oeil et annexes","02.06.02","adaptation de lentille de contact ou de verre scléral","BD","cornée","M","fabriquer/préparer/régler/réparer/réviser","P","acte par autre moyen, sans accès, ou non précisé","002","16","adaptation de lentilles cornéennes thérapeutiques"
"BDNP0010","BDNP001","destruction de lésion superficielle de la cornée par moyen physique","02","oeil et annexes","02.04.02.01","destruction de lésion de la cornée","BD","cornée","N","détruire/fragmenter","P","acte par autre moyen, sans accès, ou non précisé","001","204","traitement de la cornée (oeil)"
"BDQP0010","BDQP001","kératoesthésiométrie topographique et quantitative [kératesthésie quantitative]","02","oeil et annexes","02.01.06.03","autres épreuves fonctionnelles sur l'oeil","BD","cornée","Q","guider/enregistrer/examiner/mesurer","P","acte par autre moyen, sans accès, ou non précisé","001","114","examen de la vision"
"BDQP0020","BDQP002","vidéo-photo-kératographie topographique","02","oeil et annexes","02.01.06.03","autres épreuves fonctionnelles sur l'oeil","BD","cornée","Q","guider/enregistrer/examiner/mesurer","P","acte par autre moyen, sans accès, ou non précisé","002","114","examen de la vision"
"BDQP0030","BDQP003","pachymétrie cornéenne","02","oeil et annexes","02.01.06.03","autres épreuves fonctionnelles sur l'oeil","BD","cornée","Q","guider/enregistrer/examiner/mesurer","P","acte par autre moyen, sans accès, ou non précisé","003","114","examen de la vision"
"BDQP0040","BDQP004","microscopie spéculaire de la cornée, avec analyse morphométrique et/ou quantitative numérisée de l'endothélium cornéen","02","oeil et annexes","02.01.06.03","autres épreuves fonctionnelles sur l'oeil","BD","cornée","Q","guider/enregistrer/examiner/mesurer","P","acte par autre moyen, sans accès, ou non précisé","004","114","examen de la vision"
"BEFA0080","BEFA008","trabéculectomie [Sclérectomie transfixiante]","02","oeil et annexes","02.04.03.04","extraction, ablation, résection, exérèse du segment antérieur de l'oeil","BE","segment antérieur, sauf cornée et cristallin (iris, corps ciliaires, humeur aqueuse, limbe)","F","exciser","A","abord ouvert","008","208","traitement de l’iris et du segment antérieur de l’oeil (glaucome...)"
"BELB0010","BELB001","injection de substance inerte ou organique dans la chambre antérieure de l'oeil, par voie transcornéenne [Reformation de la chambre antérieure]","02","oeil et annexes","02.04.03.02","évacuation et injection de la chambre antérieure de l'oeil","BE","segment antérieur, sauf cornée et cristallin (iris, corps ciliaires, humeur aqueuse, limbe)","L","appliquer/implanter/injecter","B","accès transpariétal","001","208","traitement de l’iris et du segment antérieur de l’oeil (glaucome...)"
"BENP0010","BENP001","séance de photocoagulation de l'angle iridocornéen avec laser","02","oeil et annexes","02.04.03.01","destruction de lésion du segment antérieur de l'oeil","BE","segment antérieur, sauf cornée et cristallin (iris, corps ciliaires, humeur aqueuse, limbe)","N","détruire/fragmenter","P","acte par autre moyen, sans accès, ou non précisé","001","208","traitement de l’iris et du segment antérieur de l’oeil (glaucome...)"
"BEPA0010","BEPA001","libération de synéchies et/ou de brides du segment antérieur de l'oeil, par kératotomie","02","oeil et annexes","02.04.03.01","destruction de lésion du segment antérieur de l'oeil","BE","segment antérieur, sauf cornée et cristallin (iris, corps ciliaires, humeur aqueuse, limbe)","P","couper/libérer/séparer","A","abord ouvert","001","208","traitement de l’iris et du segment antérieur de l’oeil (glaucome...)"
"BEPP0010","BEPP001","section de synéchies et/ou de brides du segment antérieur de l'oeil avec laser","02","oeil et annexes","02.04.03.01","destruction de lésion du segment antérieur de l'oeil","BE","segment antérieur, sauf cornée et cristallin (iris, corps ciliaires, humeur aqueuse, limbe)","P","couper/libérer/séparer","P","acte par autre moyen, sans accès, ou non précisé","001","208","traitement de l’iris et du segment antérieur de l’oeil (glaucome...)"
"BEPP0020","BEPP002","iridotomie avec laser","02","oeil et annexes","02.04.03.03","incision du segment antérieur de l'oeil","BE","segment antérieur, sauf cornée et cristallin (iris, corps ciliaires, humeur aqueuse, limbe)","P","couper/libérer/séparer","P","acte par autre moyen, sans accès, ou non précisé","002","208","traitement de l’iris et du segment antérieur de l’oeil (glaucome...)"
"BEQP0010","BEQP001","fluorométrie de la chambre antérieure de l'oeil","02","oeil et annexes","02.01.06.03","autres épreuves fonctionnelles sur l'oeil","BE","segment antérieur, sauf cornée et cristallin (iris, corps ciliaires, humeur aqueuse, limbe)","Q","guider/enregistrer/examiner/mesurer","P","acte par autre moyen, sans accès, ou non précisé","001","114","examen de la vision"
"BEQP0040","BEQP004","photographies diagnostiques du segment antérieur de l'oeil en biomicroscopie","02","oeil et annexes","02.01.04","photographie de l'oeil","BE","segment antérieur, sauf cornée et cristallin (iris, corps ciliaires, humeur aqueuse, limbe)","Q","guider/enregistrer/examiner/mesurer","P","acte par autre moyen, sans accès, ou non précisé","004","131","imagerie de l’oeil (échographie, angiographie...)"
"BFGA0020","BFGA002","extraction extracapsulaire manuelle du cristallin, avec implantation de cristallin artificiel dans la chambre postérieure de l'oeil","02","oeil et annexes","02.04.04.01","extraction du cristallin","BF","cristallin","G","enlever/évider/extraire","A","abord ouvert","002","24","chirurgie de la cataracte (du cristallin)"
"BFPP0010","BFPP001","capsulotomie du cristallin pour cataracte secondaire, avec laser","02","oeil et annexes","02.04.04.01","extraction du cristallin","BF","cristallin","P","couper/libérer/séparer","P","acte par autre moyen, sans accès, ou non précisé","001","24","chirurgie de la cataracte (du cristallin)"
"BFQM0010","BFQM001","biométrie oculaire par échographie avec mesure des différents paramètres oculaires pour détermination de la puissance d'un implant","02","oeil et annexes","02.01.02","échographie de l'oeil","BF","cristallin","Q","guider/enregistrer/examiner/mesurer","M","acte par ultrasons, sans accès","001","131","imagerie de l’oeil (échographie, angiographie...)"
"BGDA0010","BGDA001","rétinopexie par coagulation par cryoapplication ou avec laser extraoculaire avec indentation sclérale sur plus d'un quadrant, avec tamponnement interne par gaz","02","oeil et annexes","02.04.05.07","traitement du décollement de rétine","BG","segment postérieur (sclère, choroïde, rétine, corps vitré)","D","fixer","A","abord ouvert","001","29","chirurgie de la rétine"
"BGDA0020","BGDA002","rétinopexie par coagulation par cryoapplication ou avec laser extraoculaire avec indentation sclérale sur plus d'un quadrant, sans tamponnement","02","oeil et annexes","02.04.05.07","traitement du décollement de rétine","BG","segment postérieur (sclère, choroïde, rétine, corps vitré)","D","fixer","A","abord ouvert","002","29","chirurgie de la rétine"
"BGFA0050","BGFA005","vitrectomie par sclérotomie postérieure, avec dissection du cortex vitréen [pelage] et tamponnement interne par gaz","02","oeil et annexes","02.04.05.05","vitrectomie","BG","segment postérieur (sclère, choroïde, rétine, corps vitré)","F","exciser","A","abord ouvert","005","29","chirurgie de la rétine"
"BGFA0140","BGFA014","sclérectomie profonde non transfixiante ou sclérokératectomie profonde, sans viscocanaliculoplastie","02","oeil et annexes","02.04.03.04","extraction, ablation, résection, exérèse du segment antérieur de l'oeil","BG","segment postérieur (sclère, choroïde, rétine, corps vitré)","F","exciser","A","abord ouvert","014","208","traitement de l’iris et du segment antérieur de l’oeil (glaucome...)"
"BGGA0050","BGGA005","ablation d'huile de silicone intravitréenne","02","oeil et annexes","02.04.05.06","ablation de matériel et de corps étranger du segment postérieur de l'oeil","BG","segment postérieur (sclère, choroïde, rétine, corps vitré)","G","enlever/évider/extraire","A","abord ouvert","005","29","chirurgie de la rétine"
"BGLB0010","BGLB001","injection d'agent pharmacologique dans le corps vitré","02","oeil et annexes","02.04.05.01","évacuation et injection dans le segment postérieur de l'oeil","BG","segment postérieur (sclère, choroïde, rétine, corps vitré)","L","appliquer/implanter/injecter","B","accès transpariétal","001","208","traitement de l’iris et du segment antérieur de l’oeil (glaucome...)"
"BGMA0010","BGMA001","opération rétinovitréenne associant une indentation et au moins 4 des actes suivants : coagulation, vitrectomie, endocoagulation avec laser, rétinotomie, tamponnement interne, échange fluide-gaz, dissection de brides","02","oeil et annexes","02.04.05.09","autres actes thérapeutiques sur la rétine, la choroïde et le corps vitré","BG","segment postérieur (sclère, choroïde, rétine, corps vitré)","M","fabriquer/préparer/régler/réparer/réviser","A","abord ouvert","001","29","chirurgie de la rétine"
"BGMA0020","BGMA002","opération rétinovitréenne associant au moins 4 des actes suivants : coagulation, vitrectomie, endocoagulation avec laser, rétinotomie, tamponnement interne, échange fluide-gaz, dissection de brides, rétinectomie","02","oeil et annexes","02.04.05.09","autres actes thérapeutiques sur la rétine, la choroïde et le corps vitré","BG","segment postérieur (sclère, choroïde, rétine, corps vitré)","M","fabriquer/préparer/régler/réparer/réviser","A","abord ouvert","002","29","chirurgie de la rétine"
"BGNP0010","BGNP001","séance de photocoagulation choriorétinienne du pôle postérieur, avec laser monochromatique ou laser à colorants","02","oeil et annexes","02.04.05.02","photocoagulation, cryoapplication et autres destructions du segment postérieur de l'oeil","BG","segment postérieur (sclère, choroïde, rétine, corps vitré)","N","détruire/fragmenter","P","acte par autre moyen, sans accès, ou non précisé","001","219","traitement par laser de la rétine et photothérapie"
"BGNP0030","BGNP003","séance de destruction de lésion choriorétinienne par photocoagulation avec laser, à l'aide de verre de contact","02","oeil et annexes","02.04.05.02","photocoagulation, cryoapplication et autres destructions du segment postérieur de l'oeil","BG","segment postérieur (sclère, choroïde, rétine, corps vitré)","N","détruire/fragmenter","P","acte par autre moyen, sans accès, ou non précisé","003","219","traitement par laser de la rétine et photothérapie"
"BGNP0040","BGNP004","séance de destruction de lésion choriorétinienne par photocoagulation transpupillaire avec laser","02","oeil et annexes","02.04.05.02","photocoagulation, cryoapplication et autres destructions du segment postérieur de l'oeil","BG","segment postérieur (sclère, choroïde, rétine, corps vitré)","N","détruire/fragmenter","P","acte par autre moyen, sans accès, ou non précisé","004","219","traitement par laser de la rétine et photothérapie"
"BGNP0080","BGNP008","séance de photocoagulation choriorétinienne du pôle postérieur, avec laser à argon ou diode","02","oeil et annexes","02.04.05.02","photocoagulation, cryoapplication et autres destructions du segment postérieur de l'oeil","BG","segment postérieur (sclère, choroïde, rétine, corps vitré)","N","détruire/fragmenter","P","acte par autre moyen, sans accès, ou non précisé","008","219","traitement par laser de la rétine et photothérapie"
"BGPA0020","BGPA002","dissection de la membrane épirétinienne et/ou de la membrane vitrée [hyaloïde]","02","oeil et annexes","02.04.05.09","autres actes thérapeutiques sur la rétine, la choroïde et le corps vitré","BG","segment postérieur (sclère, choroïde, rétine, corps vitré)","P","couper/libérer/séparer","A","abord ouvert","002","29","chirurgie de la rétine"
"BGQP0020","BGQP002","examen du fond d'oeil par biomicroscopie avec verre de contact","02","oeil et annexes","02.01.06.03","autres épreuves fonctionnelles sur l'oeil","BG","segment postérieur (sclère, choroïde, rétine, corps vitré)","Q","guider/enregistrer/examiner/mesurer","P","acte par autre moyen, sans accès, ou non précisé","002","114","examen de la vision"
"BGQP0070","BGQP007","rétinographie en couleur ou en lumière monochromatique, sans injection [Photographie du segment postérieur de l'oeil, sans injection]","02","oeil et annexes","02.01.04","photographie de l'oeil","BG","segment postérieur (sclère, choroïde, rétine, corps vitré)","Q","guider/enregistrer/examiner/mesurer","P","acte par autre moyen, sans accès, ou non précisé","007","131","imagerie de l’oeil (échographie, angiographie...)"
"BGQP0090","BGQP009","rétinographie en lumière bleue avec analyse des fibres optiques","02","oeil et annexes","02.01.04","photographie de l'oeil","BG","segment postérieur (sclère, choroïde, rétine, corps vitré)","Q","guider/enregistrer/examiner/mesurer","P","acte par autre moyen, sans accès, ou non précisé","009","131","imagerie de l’oeil (échographie, angiographie...)"
"BGQP0100","BGQP010","électrorétinographie [ERG] par flash lumineux, avec mesure des amplitudes et latences des réponses","02","oeil et annexes","02.01.01","explorations électrophysiologiques de l'oeil","BG","segment postérieur (sclère, choroïde, rétine, corps vitré)","Q","guider/enregistrer/examiner/mesurer","P","acte par autre moyen, sans accès, ou non précisé","010","126","exploration neurologique de l’oeil"
"BGQP0120","BGQP012","électrorétinographie [ERG] avec adaptation à l'obscurité","02","oeil et annexes","02.01.01","explorations électrophysiologiques de l'oeil","BG","segment postérieur (sclère, choroïde, rétine, corps vitré)","Q","guider/enregistrer/examiner/mesurer","P","acte par autre moyen, sans accès, ou non précisé","012","126","exploration neurologique de l’oeil"
"BGRF0010","BGRF001","séance de photothérapie dynamique de la région maculaire avec injection de produit photosensibilisant","02","oeil et annexes","02.04.05.02","photocoagulation, cryoapplication et autres destructions du segment postérieur de l'oeil","BG","segment postérieur (sclère, choroïde, rétine, corps vitré)","R","éduquer/provoquer/rééduquer","F","accès intraluminal transpariétal","001","219","traitement par laser de la rétine et photothérapie"
"BHQP0010","BHQP001","mesure de la pression [tension] intraoculaire avec courbe nycthémérale comportant au moins 6 mesures","02","oeil et annexes","02.01.06.01","étude des angles et des pressions oculaires","BH","bulbe oculaire","Q","guider/enregistrer/examiner/mesurer","P","acte par autre moyen, sans accès, ou non précisé","001","114","examen de la vision"
"BHQP0020","BHQP002","gonioscopie oculaire","02","oeil et annexes","02.01.06.01","étude des angles et des pressions oculaires","BH","bulbe oculaire","Q","guider/enregistrer/examiner/mesurer","P","acte par autre moyen, sans accès, ou non précisé","002","114","examen de la vision"
"BHRP0010","BHRP001","épreuve de provocation du glaucome","02","oeil et annexes","02.01.06.01","étude des angles et des pressions oculaires","BH","bulbe oculaire","R","éduquer/provoquer/rééduquer","P","acte par autre moyen, sans accès, ou non précisé","001","114","examen de la vision"
"BJDA0010","BJDA001","myopexie bilatérale rétroéquatoriale des muscles oculomoteurs","02","oeil et annexes","02.05.01.02","plastie de muscle oculomoteur","BJ","muscles oculomoteurs","D","fixer","A","abord ouvert","001","76","chirurgie du strabisme"
"BJDA0020","BJDA002","myopexie unilatérale rétroéquatoriale des muscles oculomoteurs","02","oeil et annexes","02.05.01.02","plastie de muscle oculomoteur","BJ","muscles oculomoteurs","D","fixer","A","abord ouvert","002","76","chirurgie du strabisme"
"BJMA0010","BJMA001","renforcement ou affaiblissement unilatéral ou bilatéral de muscle oculomoteur, avec suture ajustable","02","oeil et annexes","02.05.01.02","plastie de muscle oculomoteur","BJ","muscles oculomoteurs","M","fabriquer/préparer/régler/réparer/réviser","A","abord ouvert","001","76","chirurgie du strabisme"
"BJMA0020","BJMA002","renforcement, affaiblissement ou déplacement de l'insertion d'un muscle oculomoteur droit","02","oeil et annexes","02.05.01.02","plastie de muscle oculomoteur","BJ","muscles oculomoteurs","M","fabriquer/préparer/régler/réparer/réviser","A","abord ouvert","002","76","chirurgie du strabisme"
"BJMA0030","BJMA003","renforcement, affaiblissement ou déplacement bilatéral de l'insertion d'un muscle oculomoteur","02","oeil et annexes","02.05.01.02","plastie de muscle oculomoteur","BJ","muscles oculomoteurs","M","fabriquer/préparer/régler/réparer/réviser","A","abord ouvert","003","76","chirurgie du strabisme"
"BJMA0040","BJMA004","renforcement, affaiblissement ou déplacement de l'insertion d'un muscle oculomoteur oblique","02","oeil et annexes","02.05.01.02","plastie de muscle oculomoteur","BJ","muscles oculomoteurs","M","fabriquer/préparer/régler/réparer/réviser","A","abord ouvert","004","76","chirurgie du strabisme"
"BJMA0050","BJMA005","renforcement, affaiblissement ou déplacement unilatéral de l'insertion de 2 muscles oculomoteurs","02","oeil et annexes","02.05.01.02","plastie de muscle oculomoteur","BJ","muscles oculomoteurs","M","fabriquer/préparer/régler/réparer/réviser","A","abord ouvert","005","76","chirurgie du strabisme"
"BJQP0020","BJQP002","examen fonctionnel de la motricité oculaire","02","oeil et annexes","02.01.06.03","autres épreuves fonctionnelles sur l'oeil","BJ","muscles oculomoteurs","Q","guider/enregistrer/examiner/mesurer","P","acte par autre moyen, sans accès, ou non précisé","002","114","examen de la vision"
"BJQP0050","BJQP005","vidéonystagmoscopie","02","oeil et annexes","02.01.06.02","examen de la vision","BJ","muscles oculomoteurs","Q","guider/enregistrer/examiner/mesurer","P","acte par autre moyen, sans accès, ou non précisé","005","117","exploration de l’audition, de l’équilibre et des vertiges"
"BLMP0010","BLMP001","adaptation bilatérale de lentille de contact pour kératocône ou astigmatisme irrégulier","02","oeil et annexes","02.06.02","adaptation de lentille de contact ou de verre scléral","BL","vision","M","fabriquer/préparer/régler/réparer/réviser","P","acte par autre moyen, sans accès, ou non précisé","001","16","adaptation de lentilles cornéennes thérapeutiques"
"BLMP0020","BLMP002","adaptation unilatérale ou bilatérale de lentille de contact souple","02","oeil et annexes","02.06.02","adaptation de lentille de contact ou de verre scléral","BL","vision","M","fabriquer/préparer/régler/réparer/réviser","P","acte par autre moyen, sans accès, ou non précisé","002","16","adaptation de lentilles cornéennes thérapeutiques"
"BLMP0050","BLMP005","adaptation unilatérale ou bilatérale de lentille de contact rigide","02","oeil et annexes","02.06.02","adaptation de lentille de contact ou de verre scléral","BL","vision","M","fabriquer/préparer/régler/réparer/réviser","P","acte par autre moyen, sans accès, ou non précisé","005","16","adaptation de lentilles cornéennes thérapeutiques"
"BLQP0010","BLQP001","enregistrement des potentiels évoqués visuels avec stimulation par flash lumineux","01","système nerveux central, périphérique et autonome","01.01.09.01","potentiels évoqués visuels [PEV]","BL","vision","Q","guider/enregistrer/examiner/mesurer","P","acte par autre moyen, sans accès, ou non précisé","001","126","exploration neurologique de l’oeil"
"BLQP0020","BLQP002","campimétrie ou périmétrie manuelle ou automatisée, sans programme spécifique de mesure de seuils","02","oeil et annexes","02.01.06.02","examen de la vision","BL","vision","Q","guider/enregistrer/examiner/mesurer","P","acte par autre moyen, sans accès, ou non précisé","002","114","examen de la vision"
"BLQP0040","BLQP004","campimétrie ou périmétrie manuelle ou automatisée, avec programmes spécifiques de mesure de seuils","02","oeil et annexes","02.01.06.02","examen de la vision","BL","vision","Q","guider/enregistrer/examiner/mesurer","P","acte par autre moyen, sans accès, ou non précisé","004","114","examen de la vision"
"BLQP0050","BLQP005","mesure de l'adaptation visuelle à l'obscurité avec courbe d'adaptation","02","oeil et annexes","02.01.06.02","examen de la vision","BL","vision","Q","guider/enregistrer/examiner/mesurer","P","acte par autre moyen, sans accès, ou non précisé","005","114","examen de la vision"
"BLQP0070","BLQP007","exploration du sens chromatique [vision des couleurs] par assortiment","02","oeil et annexes","02.01.06.02","examen de la vision","BL","vision","Q","guider/enregistrer/examiner/mesurer","P","acte par autre moyen, sans accès, ou non précisé","007","114","examen de la vision"
"BLQP0080","BLQP008","exploration du sens chromatique [vision des couleurs] par épreuves pseudo-isochromatiques","02","oeil et annexes","02.01.06.02","examen de la vision","BL","vision","Q","guider/enregistrer/examiner/mesurer","P","acte par autre moyen, sans accès, ou non précisé","008","114","examen de la vision"
"BLQP0090","BLQP009","enregistrement des potentiels évoqués visuels par inversion du stimulus de contraste","01","système nerveux central, périphérique et autonome","01.01.09.01","potentiels évoqués visuels [PEV]","BL","vision","Q","guider/enregistrer/examiner/mesurer","P","acte par autre moyen, sans accès, ou non précisé","009","126","exploration neurologique de l’oeil"
"BLQP0100","BLQP010","examen de la vision binoculaire","02","oeil et annexes","02.01.06.02","examen de la vision","BL","vision","Q","guider/enregistrer/examiner/mesurer","P","acte par autre moyen, sans accès, ou non précisé","010","114","examen de la vision"
"BLQP0120","BLQP012","évaluation de l'acuité visuelle par la technique du regard préférentiel, avant l'âge de 2 ans","02","oeil et annexes","02.01.06.02","examen de la vision","BL","vision","Q","guider/enregistrer/examiner/mesurer","P","acte par autre moyen, sans accès, ou non précisé","012","114","examen de la vision"
"BLQP0140","BLQP014","détermination objective de l'acuité visuelle par étude des potentiels évoqués visuels [PEV]","02","oeil et annexes","02.01.01","explorations électrophysiologiques de l'oeil","BL","vision","Q","guider/enregistrer/examiner/mesurer","P","acte par autre moyen, sans accès, ou non précisé","014","126","exploration neurologique de l’oeil"
"BZQK0010","BZQK001","tomographie unilatérale ou bilatérale de l'oeil par scanographie à cohérence optique","02","oeil et annexes","02.01.05","autres actes d'imagerie de l'oeil","BZ","oeil, sans précision","Q","guider/enregistrer/examiner/mesurer","K","acte par rayons x, sans accès","001","131","imagerie de l’oeil (échographie, angiographie...)"
"BZQM0010","BZQM001","échographie de l'oeil et/ou de l'orbite en mode B","02","oeil et annexes","02.01.02","échographie de l'oeil","BZ","oeil, sans précision","Q","guider/enregistrer/examiner/mesurer","M","acte par ultrasons, sans accès","001","131","imagerie de l’oeil (échographie, angiographie...)"
"BZQM0020","BZQM002","échographie de l'oeil et/ou de l'orbite avec biométrie","02","oeil et annexes","02.01.02","échographie de l'oeil","BZ","oeil, sans précision","Q","guider/enregistrer/examiner/mesurer","M","acte par ultrasons, sans accès","002","131","imagerie de l’oeil (échographie, angiographie...)"
"BZQM0030","BZQM003","échographie-doppler unilatérale ou bilatérale de l'oeil et/ou de l'orbite","04","appareil circulatoire","04.01.03.03","échographie des artères cervicocéphaliques [artères de la tête et du cou]","BZ","oeil, sans précision","Q","guider/enregistrer/examiner/mesurer","M","acte par ultrasons, sans accès","003","92","echodoppler des artères (hors artères intrathoraciques)"
"BZQP0030","BZQP003","biomicroscopie de l'oeil aux ultrasons","02","oeil et annexes","02.01.02","échographie de l'oeil","BZ","oeil, sans précision","Q","guider/enregistrer/examiner/mesurer","P","acte par autre moyen, sans accès, ou non précisé","003","131","imagerie de l’oeil (échographie, angiographie...)"
"CAFA0020","CAFA002","exérèse partielle non transfixiante de l'auricule","03","oreille","03.02.04","exérèse de l'oreille externe","CA","oreille externe","F","exciser","A","abord ouvert","002","4","ablation de lésion du pavillon de l’oreille"
"CAFA0050","CAFA005","exérèse partielle transfixiante de l'auricule","03","oreille","03.02.04","exérèse de l'oreille externe","CA","oreille externe","F","exciser","A","abord ouvert","005","4","ablation de lésion du pavillon de l’oreille"
"CAFA0060","CAFA006","excision de chondrite de l'auricule","03","oreille","03.02.01","incision et extraction de l'oreille externe","CA","oreille externe","F","exciser","A","abord ouvert","006","4","ablation de lésion du pavillon de l’oreille"
"CAGD0010","CAGD001","ablation unilatérale ou bilatérale de bouchon de cérumen ou de corps étranger du méat acoustique externe","03","oreille","03.02.01","incision et extraction de l'oreille externe","CA","oreille externe","G","enlever/évider/extraire","D","accès transorificiel","001","3","ablation de bouchon de cérumen ou de corps étranger du conduit auditif (oreille)"
"CAGD0020","CAGD002","extraction unilatérale ou bilatérale de bouchon épidermique du méat acoustique externe","03","oreille","03.02.01","incision et extraction de l'oreille externe","CA","oreille externe","G","enlever/évider/extraire","D","accès transorificiel","002","3","ablation de bouchon de cérumen ou de corps étranger du conduit auditif (oreille)"
"CAJA0010","CAJA001","évacuation de collection de l'auricule","03","oreille","03.02.01","incision et extraction de l'oreille externe","CA","oreille externe","J","drainer/évacuer/nettoyer","A","abord ouvert","001","4","ablation de lésion du pavillon de l’oreille"
"CALD0010","CALD001","pose d'un conformateur du méat acoustique externe","03","oreille","03.02.09","autres actes thérapeutiques sur l'oreille externe","CA","oreille externe","L","appliquer/implanter/injecter","D","accès transorificiel","001","184","réparation ou reconstruction de l’oreille et du conduit auditif"
"CAMA0030","CAMA003","reconstruction du sillon rétroauriculaire par lambeau cutané d'avancement et autogreffe de peau","03","oreille","03.02.07","reconstruction de l'auricule","CA","oreille externe","M","fabriquer/préparer/régler/réparer/réviser","A","abord ouvert","003","184","réparation ou reconstruction de l’oreille et du conduit auditif"
"CAMA0040","CAMA004","reconstruction totale de l'auricule par autogreffe de cartilage costal","03","oreille","03.02.07","reconstruction de l'auricule","CA","oreille externe","M","fabriquer/préparer/régler/réparer/réviser","A","abord ouvert","004","184","réparation ou reconstruction de l’oreille et du conduit auditif"
"CAMA0130","CAMA013","plastie bilatérale d'oreille décollée","03","oreille","03.02.06","plastie d'oreille décollée","CA","oreille externe","M","fabriquer/préparer/régler/réparer/réviser","A","abord ouvert","013","56","chirurgie des oreilles décollées"
"CAMA0210","CAMA021","réparation de perte de substance partielle de l'auricule par autogreffe chondrocutanée","03","oreille","03.02.05","réparation de plaie et de perte de substance partielle de l'auricule","CA","oreille externe","M","fabriquer/préparer/régler/réparer/réviser","A","abord ouvert","021","184","réparation ou reconstruction de l’oreille et du conduit auditif"
"CAMA0220","CAMA022","réparation de perte de substance partielle de l'auricule par lambeau local cutané ou chondrocutané","03","oreille","03.02.05","réparation de plaie et de perte de substance partielle de l'auricule","CA","oreille externe","M","fabriquer/préparer/régler/réparer/réviser","A","abord ouvert","022","184","réparation ou reconstruction de l’oreille et du conduit auditif"
"CBFA0020","CBFA002","exérèse de cholestéatome avec tympanoplastie en technique fermée et ossiculoplastie","03","oreille","03.03.02.02","exérèse de cholestéatome de l'oreille moyenne","CB","oreille moyenne","F","exciser","A","abord ouvert","002","22","chirurgie de cholestéatome (oreille)"
"CBFA0060","CBFA006","exérèse de cholestéatome avec tympanoplastie en technique fermée","03","oreille","03.03.02.02","exérèse de cholestéatome de l'oreille moyenne","CB","oreille moyenne","F","exciser","A","abord ouvert","006","22","chirurgie de cholestéatome (oreille)"
"CBFA0070","CBFA007","exérèse de cholestéatome avec tympanoplastie en technique ouverte","03","oreille","03.03.02.02","exérèse de cholestéatome de l'oreille moyenne","CB","oreille moyenne","F","exciser","A","abord ouvert","007","22","chirurgie de cholestéatome (oreille)"
"CBGD0010","CBGD001","ablation unilatérale ou bilatérale d'aérateur transtympanique en place sur le tympan, sous anesthésie générale","03","oreille","03.03.01.01","myringotomie. Pose et ablation d'aérateur transtympanique","CB","oreille moyenne","G","enlever/évider/extraire","D","accès transorificiel","001","11","actes médicaux et chirurgicaux sur le tympan (otites, ablation de corps étranger de la caisse du tympan...)"
"CBJD0010","CBJD001","soin instrumental unilatéral ou bilatéral d'oreille moyenne sous microscope","03","oreille","03.03.02.01","soins de l'oreille moyenne","CB","oreille moyenne","J","drainer/évacuer/nettoyer","D","accès transorificiel","001","11","actes médicaux et chirurgicaux sur le tympan (otites, ablation de corps étranger de la caisse du tympan...)"
"CBLD0010","CBLD001","pose bilatérale d'aérateur transtympanique","03","oreille","03.03.01.01","myringotomie. Pose et ablation d'aérateur transtympanique","CB","oreille moyenne","L","appliquer/implanter/injecter","D","accès transorificiel","001","11","actes médicaux et chirurgicaux sur le tympan (otites, ablation de corps étranger de la caisse du tympan...)"
"CBLD0030","CBLD003","pose unilatérale d'aérateur transtympanique","03","oreille","03.03.01.01","myringotomie. Pose et ablation d'aérateur transtympanique","CB","oreille moyenne","L","appliquer/implanter/injecter","D","accès transorificiel","003","11","actes médicaux et chirurgicaux sur le tympan (otites, ablation de corps étranger de la caisse du tympan...)"
"CBMA0050","CBMA005","myringoplastie avec ossiculoplastie, sans exploration mastoïdoatticale","03","oreille","03.03.01.02","myringoplastie et tympanoplastie","CB","oreille moyenne","M","fabriquer/préparer/régler/réparer/réviser","A","abord ouvert","005","11","actes médicaux et chirurgicaux sur le tympan (otites, ablation de corps étranger de la caisse du tympan...)"
"CBMA0080","CBMA008","myringoplastie sans décollement du lambeau tympanoméatal","03","oreille","03.03.01.02","myringoplastie et tympanoplastie","CB","oreille moyenne","M","fabriquer/préparer/régler/réparer/réviser","A","abord ouvert","008","11","actes médicaux et chirurgicaux sur le tympan (otites, ablation de corps étranger de la caisse du tympan...)"
"CBMA0090","CBMA009","myringoplastie avec décollement du lambeau tympanoméatal, sans exploration mastoïdoatticale","03","oreille","03.03.01.02","myringoplastie et tympanoplastie","CB","oreille moyenne","M","fabriquer/préparer/régler/réparer/réviser","A","abord ouvert","009","11","actes médicaux et chirurgicaux sur le tympan (otites, ablation de corps étranger de la caisse du tympan...)"
